module,note_index,name,decision,target_px,decided,reason
kas_m25aa,35,Freyyr,reject,,2026-08-28 user,"names a character and already sits on him; centring in the room moves it off what it names"
tar_m04aa,56,Escape Pod,reject,,2026-08-28 user,"names an object and already sits on it; room centre would move it off the pod"
tar_m08aa,38,Throne Room,reject,,2026-08-28 user,"4 px from trigger tar08_davstr and 6 px from Davik; deliberately on the throne"
manm28aa,37,Submersible,reject,,2026-08-28 user,"sits on the submersible drawn in the map art; room centre moves it off the mechanism"
kas_m24aa,23,Basket Up,reject,,2026-08-28 user,"1.0 px from waypoint kas22ab_kas24aa, the basket lift's own transition point"
unk_m44aa,57,North Corridor,reject,,2026-08-28 user,"old and new are both inside the same corridor; no visible change, saves a table entry"
unk_m44aa,58,South Corridor,reject,,2026-08-28 user,"old and new are both inside the same corridor; no visible change, saves a table entry"
lev_m40ab,59,Bridge Corridor,reject,,2026-08-28 user,"old and new are both inside the same corridor; no visible change, saves a table entry"
tat_m18ac,0,Star Map,reject,,2026-08-28 user,"true position is outside the area's map image; user chose vanilla invisibility over an inaccurate edge marker"
tar_m02ad,26,Yun's Apartment,reject,,2026-08-28 user,"named place marked by its doorway - the game's own convention (cf. Spaceport, Visitor's Hotel)"
tar_m03ad,27,Matrik's Apartment,reject,,2026-08-28 user,"named place marked by its doorway - the game's own convention"
kas_m24aa,24,Jolee's Hut,reject,,2026-08-28 user,"2.2 px from waypoint kas24_joleehome; deliberately placed at the hut it names"
manm26ae,70,Tyvark's Shop,reject,,2026-08-28 user,"named place marked by its doorway - the game's own convention"
manm26ae,73,Republic Enclave,reject,,2026-08-28 user,"named place marked by its doorway - the game's own convention"
korr_m33aa,41,Cantina,reject,,2026-08-28 user,"named place marked by its doorway - the game's own convention"
